Language,SceneCode,Type,Name,Origin,Russian
English,scene_tutorial00,synopsis,,"Inspired by their father's letter, a young dreamer seeks the end of the sky. But on preparing to depart, a warship appears in the village along with a mysterious girl seeking aid.","Вдохновленный письмом отца, молодой мечтатель ищет конец неба. Но, готовясь к отъезду, в деревне появляется военный корабль вместе с таинственной девушкой, ищущей помощи."
English,scene_tutorial00,detail,,"In a world abandoned by the gods, a lone dragon remained.","В мире, покинутом богами, остался одинокий дракон."
English,scene_tutorial00,detail,,"Bahamut, ruler of creation through destruction, sought to refine the realm the gods left behind into a richer, more bountiful place.","Бахамут, правитель творения через разрушение, стремился превратить оставленное богами царство в более богатое и изобильное."
English,scene_tutorial00,detail,,"But the arrival of invaders from beyond the sky—the Astrals—brought an end to his plans.","Но появление пришельцев из-за неба - Астралов, положило конец его планам."
English,scene_tutorial00,detail,,"The Astrals used creatures of terrible power known as primal beasts to bring the sky under their control. Long did the skies belong to the stars.","Астралы использовали существ ужасной силы, известных как первобытные звери, чтобы взять небо под свой контроль. Долгое время небо принадлежало звездам."
English,scene_tutorial00,detail,,"Но воздухоплаватели выжидали и учились у своих врагов. В конце концов, они сражались, чтобы вернуть небеса в конфликте, который стал известен как Война.",
English,scene_tutorial00,detail,,"And here we find the Sky Realm, now a world of fragmented lands floating in a sea of clouds.","И здесь мы находим Небесное царство, теперь мир фрагментированных земель, плывущих в море облаков."
English,scene_tutorial00,detail,,"A new tale is about to begin here, spanning the skies and the stars alike...","Скоро здесь начнется новая сказка, охватывающая небо и звезды..."
English,scene_tutorial00,detail,Vyrn,"Say, are you serious about leavin' the village?","Скажи, ты серьезно собираешься покинуть деревню?"
English,scene_tutorial00,detail,Vyrn,"Sure, your dad wrote about the end of the sky in his letter, but getting there might as well be impossible...","Конечно, твой отец писал о конце неба в своем письме, но попасть туда с таким же успехом было бы невозможно..."
English,scene_tutorial00,sel1_txt,,I know we can reach it!,"Я знаю, что мы сможем до него добраться!"
English,scene_tutorial00,sel2_txt,,I have a plan.,"У меня есть план."
English,scene_tutorial00,detail,Vyrn,"Oh! You mean with the Sky Map? The thingy the Astrals put together centuries ago?","Ох! Ты имеешь в виду Карту неба? Штуку, которую Астралы собрали много веков назад?"
English,scene_tutorial00,detail,Vyrn,"If we had something like that, we could go anywhere! But you know that map's just something out of a fairy tale...",
English,scene_tutorial00,detail,Vyrn,"Real or not, there's no stopping you once you've made up your mind. Beats hanging around this sleepy village anyway!",
English,scene_tutorial00,detail,Vyrn,"Huh?<br>Whoa! Hang on a minute! What was that?",
English,scene_tutorial00,detail,Vyrn,"That's... a battleship! What's it doing here in the middle of nowhere?",
English,scene_tutorial00,detail,Vyrn,"No way! What's going on here? I just heard something explode!",
English,scene_tutorial00,detail,???,"...",
English,scene_tutorial00,sel1_txt,,I just saw a flash over by the forest...,
English,scene_tutorial00,detail,Vyrn,"What do you think it was? A part of the ship?",
English,scene_tutorial00,detail,Vyrn,"Hoo boy... What if that sets the whole forest on fire?",
English,scene_tutorial00,sel1_txt,,We'd better check it out!,
English,scene_tutorial00,detail,Vyrn,"Whatever fell from that battleship should be over... here.",
English,scene_tutorial00,detail,???,"Eek!",
English,scene_tutorial00,detail,Mysterious Girl,"Ouch...",
English,scene_tutorial00,detail,Mysterious Girl,"...!",
English,scene_tutorial00,detail,Vyrn,"Who's the girl? Never seen her around here before.",
English,scene_tutorial00,sel1_txt,,Are you okay? You're not hurt, are you?,
English,scene_tutorial00,detail,Mysterious Girl,"P-please! S-save me!",
English,scene_tutorial00,detail,Vyrn,"H-hey... That's a big request to spring on someone!",
English,scene_tutorial00,detail,Gruff Voice,"You there! Halt!<br>Drop your sword! Hands in the air!",
English,scene_tutorial00,detail,Mysterious Girl,"Gasp!",
English,scene_tutorial00,detail,,"Soldiers in pursuit of the girl show up. Their armor suggests they are with the villainous Erste Empire, which employs military might to force kingdoms throughout the skies to their knees.",
English,scene_tutorial00,detail,Vyrn,"Who are you guys? Are you trying to pick a fight?",
English,scene_tutorial00,detail,Imperial Soldier,"If your life means anything to you, you'll cooperate and hand over that girl.",
English,scene_tutorial00,detail,,"The soldiers' hostile intentions terrifies the girl.",
English,scene_tutorial00,detail,Mysterious Girl,"N-no!",
English,scene_tutorial00,detail,Imperial Soldier,"You heard me! Hand her over! You don't want to force my hand.",
English,scene_tutorial00,sel1_txt,,She asked for our help!,
English,scene_tutorial00,sel2_txt,,Like we can trust you!,
English,scene_tutorial00,detail,Vyrn,"That's right! We can't just do what you say when she's shakin' like a leaf over here!",
English,scene_tutorial00,detail,Imperial Soldier,"So that's how we're gonna play it, huh? Don't say I didn't warn you!",
English,scene_tutorial00,detail,,"...!",
